Timestamp: 20241007_185321
Mean magnitude: 1.240553379058838, after 2.68867 seconds
Mean magnitude: 2.05830454826355, after 2.947317 seconds
Mean magnitude: 1.2256425619125366, after 3.217472 seconds
Mean magnitude: 1.3558498620986938, after 3.520777 seconds
Mean magnitude: 1.1782619953155518, after 3.778316 seconds
Mean magnitude: 1.5939401388168335, after 4.05902 seconds
Mean magnitude: 1.2017778158187866, after 4.347352 seconds
Mean magnitude: 1.4585797786712646, after 4.634463 seconds
Mean magnitude: 1.175119400024414, after 4.897976 seconds
Mean magnitude: 1.1383416652679443, after 5.186985 seconds
Mean magnitude: 1.2273468971252441, after 5.472323 seconds
Mean magnitude: 1.14547598361969, after 5.755139 seconds
Mean magnitude: 0.9602300524711609, after 6.039316 seconds
Mean magnitude: 1.1065504550933838, after 6.323448 seconds
Mean magnitude: 1.1336880922317505, after 6.608644 seconds
Mean magnitude: 0.915444016456604, after 6.894415 seconds
Mean magnitude: 1.1677597761154175, after 7.180537 seconds
Mean magnitude: 1.3385499715805054, after 7.468797 seconds
Mean magnitude: 1.312628984451294, after 7.769847 seconds
Mean magnitude: 1.7733234167099, after 8.056086 seconds
Mean magnitude: 1.0378880500793457, after 8.33779 seconds
Mean magnitude: 1.5473377704620361, after 8.602916 seconds
Mean magnitude: 1.393481731414795, after 8.86674 seconds
Mean magnitude: 1.136783480644226, after 9.149836 seconds
Mean magnitude: 2.546687126159668, after 9.433846 seconds
Mean magnitude: 1.3779267072677612, after 9.718216 seconds
Mean magnitude: 2.345867156982422, after 9.981153 seconds
Mean magnitude: 3.113802433013916, after 10.239147 seconds
Component attached gently, after 10.239147 seconds
Mean magnitude: 3.0050690174102783, after 10.496901 seconds
Component attached gently, after 10.496901 seconds
Mean magnitude: 1.174154281616211, after 10.753662 seconds
Mean magnitude: 1.2988505363464355, after 11.022848 seconds
Mean magnitude: 1.2448112964630127, after 11.280023 seconds
Mean magnitude: 1.668249249458313, after 11.536483 seconds
Mean magnitude: 1.3383139371871948, after 11.790165 seconds
Mean magnitude: 1.4374839067459106, after 12.05001 seconds
Component disappeared: Mean magnitude: 1.4374839067459106
Component detached
Timestamp: 20241007_190408
Mean magnitude: 1.208271861076355, after 0.727257 seconds
Mean magnitude: 1.3193072080612183, after 1.001285 seconds
Mean magnitude: 2.0570335388183594, after 1.269543 seconds
Mean magnitude: 1.40828537940979, after 1.554311 seconds
Mean magnitude: 1.6860967874526978, after 1.819073 seconds
Mean magnitude: 1.3737518787384033, after 2.099934 seconds
Mean magnitude: 1.4075676202774048, after 2.38474 seconds
Mean magnitude: 2.0038859844207764, after 2.670041 seconds
Mean magnitude: 1.61415433883667, after 2.977184 seconds
Mean magnitude: 1.8979142904281616, after 3.252219 seconds
Mean magnitude: 1.1893037557601929, after 3.520746 seconds
Mean magnitude: 0.9878410696983337, after 3.788172 seconds
Mean magnitude: 1.1487098932266235, after 4.059189 seconds
Mean magnitude: 1.5266867876052856, after 4.321204 seconds
Mean magnitude: 1.3441060781478882, after 4.588007 seconds
Mean magnitude: 1.2524094581604004, after 4.877516 seconds
Mean magnitude: 1.3776684999465942, after 5.163311 seconds
Mean magnitude: 1.1742498874664307, after 5.451752 seconds
Mean magnitude: 1.9131213426589966, after 5.735972 seconds
Mean magnitude: 1.1019965410232544, after 6.021194 seconds
Mean magnitude: 1.4899200201034546, after 6.300577 seconds
Mean magnitude: 1.339066505432129, after 6.562705 seconds
Mean magnitude: 1.4296950101852417, after 6.822952 seconds
Mean magnitude: 1.3028228282928467, after 7.080768 seconds
Mean magnitude: 1.175743579864502, after 7.337749 seconds
Mean magnitude: 1.2341892719268799, after 7.604914 seconds
Mean magnitude: 1.2138437032699585, after 7.889705 seconds
Mean magnitude: 1.0718733072280884, after 8.156803 seconds
