Timestamp: 20241007_192119
Mean magnitude: 1.4005768299102783, after 13.129411 seconds
Mean magnitude: 1.3942900896072388, after 13.32725 seconds
Mean magnitude: 1.3017587661743164, after 13.522863 seconds
Mean magnitude: 1.4528244733810425, after 13.719355 seconds
Mean magnitude: 1.0131137371063232, after 13.916203 seconds
Component disappeared: Mean magnitude: 1.0131137371063232
Component detached
Timestamp: 20241007_192914
Mean magnitude: 1.7027413845062256, after 0.644503 seconds
Mean magnitude: 1.176884651184082, after 0.85304 seconds
Mean magnitude: 2.5122835636138916, after 1.064489 seconds
Mean magnitude: 1.3123890161514282, after 1.271258 seconds
Mean magnitude: 1.3777611255645752, after 1.469481 seconds
Mean magnitude: 2.145477533340454, after 1.681499 seconds
Mean magnitude: 2.156982183456421, after 1.880351 seconds
Mean magnitude: 1.2817108631134033, after 2.089319 seconds
Mean magnitude: 1.371268391609192, after 2.28832 seconds
Mean magnitude: 1.268324375152588, after 2.500909 seconds
Mean magnitude: 1.3671141862869263, after 2.698307 seconds
Mean magnitude: 1.323784589767456, after 2.919513 seconds
Mean magnitude: 1.7782437801361084, after 3.124429 seconds
Mean magnitude: 1.3924013376235962, after 3.333282 seconds
Mean magnitude: 1.1643967628479004, after 3.532992 seconds
Mean magnitude: 1.5314861536026, after 3.729037 seconds
Mean magnitude: 1.363999366760254, after 3.929092 seconds
Mean magnitude: 1.3069573640823364, after 4.138069 seconds
Mean magnitude: 1.033286690711975, after 4.336801 seconds
Mean magnitude: 1.388715386390686, after 4.546513 seconds
Mean magnitude: 1.1746546030044556, after 4.747342 seconds
Mean magnitude: 1.1953092813491821, after 4.957661 seconds
Mean magnitude: 1.343467354774475, after 5.157644 seconds
Mean magnitude: 1.4603567123413086, after 5.36774 seconds
Mean magnitude: 1.3281339406967163, after 5.579587 seconds
Mean magnitude: 1.3990051746368408, after 5.778296 seconds
Mean magnitude: 1.033864974975586, after 5.987813 seconds
Mean magnitude: 1.481413722038269, after 6.18886 seconds
Mean magnitude: 1.2349834442138672, after 6.399052 seconds
Mean magnitude: 1.279809594154358, after 6.596272 seconds
Mean magnitude: 1.3143960237503052, after 6.806118 seconds
Mean magnitude: 1.4619810581207275, after 7.003828 seconds
Mean magnitude: 1.4818553924560547, after 7.201062 seconds
Mean magnitude: 1.4803540706634521, after 7.398464 seconds
Mean magnitude: 1.4713482856750488, after 7.597387 seconds
Mean magnitude: 1.388372778892517, after 7.805997 seconds
Mean magnitude: 2.048798084259033, after 8.004525 seconds
Mean magnitude: 1.5381327867507935, after 8.198274 seconds
Mean magnitude: 1.3441247940063477, after 8.394808 seconds
Mean magnitude: 0.8961854577064514, after 8.591721 seconds
Mean magnitude: 0.9546902775764465, after 8.790183 seconds
Mean magnitude: 1.990703821182251, after 8.985431 seconds
Mean magnitude: 1.022492527961731, after 9.182734 seconds
Mean magnitude: 1.8345636129379272, after 9.380154 seconds
Mean magnitude: 1.308746337890625, after 9.575859 seconds
Mean magnitude: 1.0946749448776245, after 9.772016 seconds
Mean magnitude: 2.392199993133545, after 9.969655 seconds
Mean magnitude: 1.3193415403366089, after 10.16474 seconds
Mean magnitude: 3.1674249172210693, after 10.365548 seconds
Component attached gently, after 10.365548 seconds
Mean magnitude: 1.782425045967102, after 10.573701 seconds
Mean magnitude: 2.217106580734253, after 10.771475 seconds
Mean magnitude: 1.5437853336334229, after 10.969386 seconds
Mean magnitude: 1.3534902334213257, after 11.179537 seconds
Mean magnitude: 1.4543036222457886, after 11.377563 seconds
Mean magnitude: 1.6260894536972046, after 11.575454 seconds
Mean magnitude: 1.1349010467529297, after 11.788452 seconds
Mean magnitude: 1.5374494791030884, after 12.00053 seconds
Mean magnitude: 1.4273415803909302, after 12.196883 seconds
Mean magnitude: 1.7648805379867554, after 12.397059 seconds
Mean magnitude: 1.3611735105514526, after 12.60624 seconds
Mean magnitude: 1.7650229930877686, after 12.803661 seconds
Mean magnitude: 1.0672361850738525, after 13.002671 seconds
Mean magnitude: 1.2335838079452515, after 13.211687 seconds
Mean magnitude: 1.7849984169006348, after 13.409389 seconds
Mean magnitude: 1.6016732454299927, after 13.605706 seconds
Mean magnitude: 1.6617913246154785, after 13.806377 seconds
Component disappeared: Mean magnitude: 1.6617913246154785
Component detached
Timestamp: 20241007_193115
